Introduction,https://cs161.org/assets/lectures/lec01.pdf
"Memory Safety notes, section 1",https://cs161.org/assets/notes/memory-safety.pdf
"C, x86, and GDB cheatsheet",https://cs161.org/assets/projects/1/cheatsheet.pdf
Security Principles,https://cs161.org/assets/lectures/lec02.pdf
Security Principles notes,https://cs161.org/assets/notes/security-principles.pdf
Project 1 released,https://cs161.org/assets/projects/1/project1-spec.pdf
"61C Review, Security Principles",https://cs161.org/assets/sections/01-questions.pdf
01-solutions,https://cs161.org/assets/sections/01-solutions.pdf
Buffer Overflows,https://cs161.org/assets/lectures/lec03.pdf
"Memory Safety notes, section 2",https://cs161.org/assets/notes/memory-safety.pdf
Buffer Overflow Defenses,https://cs161.org/assets/lectures/lec04.pdf
"Memory Safety notes, section 3",https://cs161.org/assets/notes/memory-safety.pdf
Optional Lab 1 released,https://cs161.org/assets/labs/padding-oracle.zip
Memory Safety,https://cs161.org/assets/sections/02-questions.pdf
02-solutions,https://cs161.org/assets/sections/02-solutions.pdf
IND-CPA + One-Time Pads + Block Ciphers + Symmetric Key Encryption,https://cs161.org/assets/lectures/lec05.pdf
"Cryptography notes, sections 1-3",https://cs161.org/assets/notes/cryptography.pdf
Symmetric Key Encryption (cont.) + Hashing + Integrity (MACs) + Pseudorandom Generators,https://cs161.org/assets/lectures/lec06.pdf
"Cryptography notes, sections 4-6",https://cs161.org/assets/notes/cryptography.pdf
AES Demo,https://cs161.org/assets/sections/AES_demo.ipynb
Pseudorandom Generators (cont.) + Public Key Exchange,https://cs161.org/assets/lectures/lec07.pdf
"Cryptography notes, section 7",https://cs161.org/assets/notes/cryptography.pdf
Symmetric-Key Cryptography,https://cs161.org/assets/sections/03-questions.pdf
03-solutions,https://cs161.org/assets/sections/03-solutions.pdf
Exam Prep,https://cs161.org/assets/sections/03-examprep-questions.pdf
03-examprep-solutions,https://cs161.org/assets/sections/03-examprep-solutions.pdf
Public Key Encryption + Digital Signatures,https://cs161.org/assets/lectures/lec08.pdf
"Cryptography notes, sections 8-9",https://cs161.org/assets/notes/cryptography.pdf
Certificates,https://cs161.org/assets/lectures/lec09.pdf
"Cryptography notes, section 10",https://cs161.org/assets/notes/cryptography.pdf
Asymmetric Cryptography,https://cs161.org/assets/sections/04-questions.pdf
04-solutions,https://cs161.org/assets/sections/04-solutions.pdf
Password Hashing + Blockchain,https://cs161.org/assets/lectures/lec10.pdf
"Cryptography notes, sections 11-12",https://cs161.org/assets/notes/cryptography.pdf
Project 1 due (11:59pm PT),https://cs161.org/assets/projects/1/project1-spec.pdf
Public Key Cryptography,https://cs161.org/assets/sections/05-questions.pdf
05-solutions,https://cs161.org/assets/sections/05-solutions.pdf
Signal + Tor,https://cs161.org/assets/lectures/lec11.pdf
Command Injection + SQL Injection,https://cs161.org/assets/lectures/lec12.pdf
"Web notes, section 5",https://cs161.org/assets/notes/web.pdf
Squigler demo,https://cs161.org/assets/squigler.zip
Intro to Web + Cookies,https://cs161.org/assets/lectures/lec13.pdf
"Web notes, sections 1-4, 7",https://cs161.org/assets/notes/web.pdf
Cross-Site Request Forgery (CSRF) + Cross-Site Scripting (XSS),https://cs161.org/assets/lectures/lec14.pdf
"Web notes, sections 6, 8",https://cs161.org/assets/notes/web.pdf
XSS (continued) + UI Attacks,https://cs161.org/assets/lectures/lec15.pdf
"Web notes, section 6",https://cs161.org/assets/notes/web.pdf
SQL Injection and Cookies,https://cs161.org/assets/sections/07-questions.pdf
07-solutions,https://cs161.org/assets/sections/07-solutions.pdf
Captchas + Networking Background,https://cs161.org/assets/lectures/lec16.pdf
"Networking notes, section 1",https://cs161.org/assets/notes/networking.pdf
Low-Level Network Attacks,https://cs161.org/assets/lectures/lec17.pdf
"Networking notes, sections 2-4",https://cs161.org/assets/notes/networking.pdf
CSRF and XSS,https://cs161.org/assets/sections/08-questions.pdf
08-solutions,https://cs161.org/assets/sections/08-solutions.pdf
Layer 3 (IP) + BGP + DNS,https://cs161.org/assets/lectures/lec18.pdf
"Networking notes, sections 5, 8-9",https://cs161.org/assets/notes/networking.pdf
Optional Lab 1 due (11:59pm PT),https://cs161.org/assets/labs/padding-oracle.zip
TCP + TLS,https://cs161.org/assets/lectures/lec19.pdf
"Networking notes, sections 6-7",https://cs161.org/assets/notes/networking.pdf
